=== BUILD_T0 2026-09-10T06:06:33Z OLEANS_BEFORE=3608
✔ [2128/2156] Built Mathlib.SetTheory.Cardinal.Finsupp (48s)
✔ [2129/2156] Built Mathlib.SetTheory.Cardinal.Ordinal (49s)
✔ [2130/2160] Built Mathlib.Tactic.IntervalCases (50s)
✔ [2131/2161] Built Mathlib.SetTheory.Cardinal.Cofinality.Ordinal (5.1s)
✔ [2132/2161] Built Mathlib.SetTheory.Ordinal.FundamentalSequence (1.9s)
✔ [2133/2161] Built Mathlib.RingTheory.LocalRing.Basic (9.0s)
✔ [2134/2164] Built Mathlib.Topology.MetricSpace.Gluing (11s)
✔ [2135/2166] Built Mathlib.LinearAlgebra.SesquilinearForm.Orthogonal (7.9s)
✔ [2136/2166] Built Mathlib.SetTheory.Cardinal.Regular (3.9s)
✔ [2137/2166] Built Mathlib.Topology.Metrizable.CompletelyMetrizable (2.5s)
✔ [2138/2167] Built Mathlib.SetTheory.Cardinal.Pigeonhole (2.9s)
✔ [2139/2167] Built Mathlib.Topology.Sets.Closeds (5.2s)
✔ [2140/2167] Built Mathlib.LinearAlgebra.Basis.Cardinality (3.2s)
✔ [2141/2167] Built Mathlib.Topology.Algebra.Module.ContinuousLinearMap.Idempotent (8.4s)
✔ [2142/2167] Built Mathlib.Topology.Baire.CompleteMetrizable (4.4s)
✔ [2143/2170] Built Mathlib.Analysis.Normed.Group.Lemmas (1.7s)
✔ [2144/2170] Built Mathlib.Topology.Algebra.Module.ClosedSubmodule (5.7s)
✔ [2145/2172] Built Mathlib.RingTheory.Finiteness.Cardinality (5.9s)
✔ [2146/2172] Built Mathlib.LinearAlgebra.FreeModule.Finite.Basic (3.3s)
✔ [2147/2172] Built Mathlib.RingTheory.OrzechProperty (2.4s)
✔ [2148/2173] Built Mathlib.Topology.Algebra.ContinuousAffineEquiv (10s)
✔ [2149/2173] Built Mathlib.RingTheory.Noetherian.Basic (7.0s)
✔ [2150/2173] Built Mathlib.Analysis.Calculus.ContDiff.Comp (96s)
✔ [2151/2174] Built Mathlib.Analysis.Normed.Module.RCLike.Basic (6.1s)
✔ [2152/2174] Built Mathlib.Topology.Algebra.AffineSubspace (3.3s)
✔ [2153/2174] Built Mathlib.Analysis.Normed.Operator.Banach (22s)
✔ [2154/2174] Built Mathlib.RingTheory.Noetherian.Orzech (4.8s)
✔ [2155/2175] Built Mathlib.Analysis.Normed.Module.RieszLemma (5.7s)
✔ [2156/2175] Built Mathlib.Analysis.Normed.Module.Ball.Pointwise (7.7s)
✔ [2157/2178] Built Mathlib.RingTheory.Finiteness.Cofinite (5.2s)
✔ [2158/2178] Built Mathlib.Algebra.FreeMonoid.UniqueProds (3.2s)
✔ [2159/2180] Built Mathlib.LinearAlgebra.Dual.Basis (6.9s)
✔ [2160/2180] Built Mathlib.LinearAlgebra.InvariantBasisNumber (7.8s)
✔ [2161/2181] Built Mathlib.Algebra.Polynomial.Eval.Defs (9.0s)
✔ [2162/2181] Built Mathlib.LinearAlgebra.Dimension.StrongRankCondition (10s)
✔ [2163/2182] Built Mathlib.Algebra.Polynomial.Eval.Algebra (1.0s)
✔ [2164/2187] Built Mathlib.Algebra.MonoidAlgebra.Support (3.6s)
✔ [2165/2187] Built Mathlib.Analysis.Normed.Affine.Isometry (25s)
✔ [2166/2188] Built Mathlib.LinearAlgebra.Dimension.Free (7.0s)
✔ [2168/2188] Built Mathlib.Algebra.Polynomial.Coeff (5.0s)
✔ [2169/2188] Built Mathlib.Algebra.MonoidAlgebra.Basic (23s)
✔ [2170/2193] Built Mathlib.LinearAlgebra.FiniteDimensional.Defs (6.8s)
✔ [2171/2196] Built Mathlib.Data.Nat.WithBot (3.7s)
✔ [2173/2197] Built Mathlib.Algebra.MonoidAlgebra.Degree (12s)
✔ [2174/2203] Built Mathlib.Algebra.FreeAlgebra (10s)
✔ [2177/2203] Built Mathlib.LinearAlgebra.Dimension.Constructions (12s)
✔ [2179/2203] Built Mathlib.Algebra.Polynomial.Monomial (3.6s)
✔ [2180/2205] Built Mathlib.Algebra.Polynomial.Degree.Defs (8.0s)
✔ [2181/2205] Built Mathlib.Data.Finsupp.Order (8.0s)
✔ [2182/2205] Built Mathlib.LinearAlgebra.Dimension.FreeAndStrongRankCondition (8.8s)
✔ [2183/2205] Built Mathlib.Algebra.Algebra.Subalgebra.Prod (4.6s)
✔ [2184/2207] Built Mathlib.LinearAlgebra.Dimension.Finite (11s)
✔ [2185/2207] Built Mathlib.Data.Finsupp.Antidiagonal (4.6s)
✔ [2186/2210] Built Mathlib.Algebra.Polynomial.Degree.Operations (8.6s)
✔ [2188/2210] Built Mathlib.RingTheory.Adjoin.Basic (5.4s)
✔ [2189/2210] Built Mathlib.LinearAlgebra.Dimension.RankNullity (9.5s)
✔ [2190/2210] Built Mathlib.Algebra.Polynomial.Degree.SmallDegree (6.6s)
✔ [2191/2210] Built Mathlib.LinearAlgebra.FiniteDimensional.Basic (12s)
✔ [2192/2210] Built Mathlib.Algebra.Polynomial.Degree.Domain (3.5s)
✔ [2193/2210] Built Mathlib.Algebra.Polynomial.Degree.Support (3.8s)
✔ [2194/2211] Built Mathlib.Algebra.BigOperators.Finsupp.Fin (2.8s)
✔ [2195/2220] Built Mathlib.Algebra.MvPolynomial.Basic (14s)
✔ [2196/2220] Built Mathlib.Algebra.Polynomial.Degree.Units (2.6s)
✔ [2197/2220] Built Mathlib.LinearAlgebra.Dimension.DivisionRing (5.1s)
✔ [2198/2226] Built Mathlib.Algebra.Polynomial.Degree.TrailingDegree (3.9s)
✔ [2199/2226] Built Mathlib.Algebra.Polynomial.Degree.Monomial (2.2s)
✔ [2200/2226] Built Mathlib.Algebra.Ring.Action.Submonoid (2.3s)
✔ [2202/2226] Built Mathlib.Algebra.Polynomial.Eval.Degree (4.3s)
✔ [2203/2226] Built Mathlib.LinearAlgebra.FiniteDimensional.Lemmas (8.2s)
✔ [2204/2226] Built Mathlib.Algebra.Algebra.Subalgebra.Operations (5.9s)
✔ [2205/2226] Built Mathlib.Algebra.MvPolynomial.Eval (11s)
✔ [2206/2226] Built Mathlib.Algebra.Polynomial.Degree.Lemmas (7.0s)
✔ [2207/2226] Built Mathlib.Algebra.MvPolynomial.Rename (8.4s)
✔ [2208/2226] Built Mathlib.Analysis.InnerProductSpace.Orthonormal (10s)
✔ [2209/2226] Built Mathlib.Algebra.Polynomial.AlgebraMap (10s)
✔ [2210/2227] Built Mathlib.Algebra.Polynomial.EraseLead (6.3s)
✔ [2211/2227] Built Mathlib.Algebra.MvPolynomial.Degrees (8.4s)
✔ [2212/2227] Built Mathlib.RingTheory.Adjoin.Polynomial.Basic (3.4s)
✔ [2214/2227] Built Mathlib.Analysis.InnerProductSpace.Subspace (9.1s)
✔ [2215/2230] Built Mathlib.Algebra.Polynomial.Reverse (4.2s)
✔ [2216/2230] Built Mathlib.RingTheory.Ideal.Quotient.Operations (28s)
✔ [2219/2238] Built Mathlib.Algebra.Polynomial.Monic (8.1s)
✔ [2220/2243] Built Mathlib.Algebra.MvPolynomial.Equiv (14s)
✔ [2225/2244] Built Mathlib.Data.Fin.Tuple.NatAntidiagonal (6.4s)
✔ [2229/2245] Built Mathlib.Analysis.InnerProductSpace.Orthogonal (17s)
✔ [2231/2245] Built Mathlib.Algebra.Polynomial.BigOperators (6.8s)
✔ [2233/2248] Built Mathlib.GroupTheory.Perm.Finite (5.7s)
✔ [2234/2250] Built Mathlib.Algebra.Order.Antidiag.Pi (8.7s)
✔ [2236/2252] Built Mathlib.Analysis.InnerProductSpace.Symmetric (16s)
✔ [2237/2256] Built Mathlib.Algebra.Order.Antidiag.Finsupp (10s)
✔ [2238/2256] Built Mathlib.RingTheory.Polynomial.Basic (17s)
✔ [2239/2257] Built Mathlib.GroupTheory.Perm.Cycle.Basic (16s)
✔ [2240/2257] Built Mathlib.GroupTheory.Perm.Option (3.5s)
✔ [2241/2257] Built Mathlib.Tactic.NormNum.GCD (6.7s)
✔ [2242/2257] Built Mathlib.Combinatorics.Enumerative.Partition.Basic (4.7s)
✔ [2243/2257] Built Mathlib.GroupTheory.NoncommPiCoprod (7.5s)
✔ [2244/2258] Built Mathlib.GroupTheory.Perm.Closure (3.0s)
✔ [2245/2259] Built Mathlib.RingTheory.Adjoin.FG (5.3s)
✔ [2246/2259] Built Mathlib.LinearAlgebra.Matrix.Dual (5.2s)
✔ [2247/2263] Built Mathlib.LinearAlgebra.Matrix.Symmetric (5.5s)
✔ [2248/2263] Built Mathlib.LinearAlgebra.Matrix.SemiringInverse (11s)
✔ [2249/2264] Built Mathlib.GroupTheory.Perm.Cycle.Factors (10s)
✔ [2250/2264] Built Mathlib.RingTheory.Adjoin.Tower (9.4s)
✔ [2251/2268] Built Mathlib.Tactic.ComputeDegree (7.7s)
✔ [2252/2268] Built Mathlib.LinearAlgebra.Matrix.Invertible (8.7s)
✔ [2253/2271] Built Mathlib.LinearAlgebra.Matrix.Trace (8.0s)
✔ [2255/2271] Built Mathlib.GroupTheory.Perm.Cycle.Type (11s)
